asset,free,locked
ETH,0.00009320,0.00000000
BNB,0.00000093,0.00000000
USDT,0.01235150,0.00000000
ADA,0.05940000,0.00000000
ZIL,0.05080000,0.00000000
DENT,0.85200000,0.00000000
DOGE,0.82000000,0.00000000
BTCUP,0.00864000,0.00000000
BTCDOWN,0.00818000,0.00000000
ETHUP,0.00311000,0.00000000
ETHDOWN,11.01844000,0.00000000
DIA,0.07500000,0.00000000
SLP,0.34900000,0.00000000
CELO,0.05140000,0.00000000
SHIB,0.85,0.00
NFT,24799.715460,0.000000
FIDA,0.00460000,0.00000000
BTTC,4910445.8,0.0
APE,0.00290000,0.00000000
GMT,0.04610000,0.00000000
ETHW,0.00009320,0.00000000
