assets;free;lockes;symbol
ETH;0.00009320;0.00000000;ETHUSDT
BNB;0.00000093;0.00000000;BNBUSDT
USDT;0.01235150;0.00000000;USDTUSDT
ADA;0.05940000;0.00000000;ADAUSDT
ZIL;0.05080000;0.00000000;ZILUSDT
DENT;0.85200000;0.00000000;DENTUSDT
DOGE;0.82000000;0.00000000;DOGEUSDT
BTCUP;0.00864000;0.00000000;BTCUPUSDT
BTCDOWN;0.00818000;0.00000000;BTCDOWNUSDT
ETHUP;0.00311000;0.00000000;ETHUPUSDT
ETHDOWN;11.01844000;0.00000000;ETHDOWNUSDT
DIA;0.07500000;0.00000000;DIAUSDT
SLP;0.34900000;0.00000000;SLPUSDT
CELO;0.05140000;0.00000000;CELOUSDT
SHIB;0.85;0.00;SHIBUSDT
NFT;24799.715460;0.000000;NFTUSDT
FIDA;0.00460000;0.00000000;FIDAUSDT
BTTC;4910445.8;0.0;BTTCUSDT
APE;0.00290000;0.00000000;APEUSDT
GMT;0.04610000;0.00000000;GMTUSDT
ETHW;0.00009320;0.00000000;ETHWUSDT
